building,school,building_condition,learning_environment,capacity,enrollment,wss_office_staff,wss_non-teaching,mitigation_funding,custodial,average_nutrition,utilities,transportation,grounds,maintenance,total_budget,middle_school_attendance_area,option_school,highly_capable_site,region,k_8,preschool,longitude,latitude,zip_code,regular_program,bilingual_served,special_ed._served,male,female,non-binary,total_student_count,p223_k5_count,p223_k5_fte,p223_k8_count,pk8_count,percent_utilization,normalized_building_condition,building_condition_rank,normalized_capacity,capacity_rank,normalized_learning_environment,learning_environment_rank,learning_environment_rev,normalized_total_budget,budget_per_k5_student,budget_per_k8_student,budget_per_pk8_student,nearest_school,distance_to_nearest_school
Catharine Blaine,Catharine Blaine,38.83,3.17,523,294,440101,256382,30320,273830,62985,144829,82857,27458,91580,1410342,McClure,Neighborhood,Standard,Central,K-8,No,-122.4,47.643,98199,191,7,42,135,142,3,280,280,235.04,442,442,56.21414913957935,-2.1814462173951754,73,0.27919511478710923,28,0.6765256968585442,49,1.83,-0.8415421771283964,5036.935714285714,3190.819004524887,3190.819004524887,Magnolia,0.39725426485252413
Cedar Park,Cedar Park,84.66,3.38,154,235,396751,210704,,381025,62985,65687,165714,27851,52657,1363375,Jane Addams,Option,Standard,Northeast,K-5,Yes,-122.288,47.726,98125,184,33,19,116,112,4,232,232,232.0,232,268,152.5974025974026,0.5256606096806709,24,-2.4000634555799585,72,0.8912490702092997,56,1.62,-0.9489043249631458,5876.616379310345,5876.616379310345,5087.2201492537315,Olympic Hills,0.8938905394527366
Concord,Concord,78.21,2.23,480,271,396751,170370,150670,418356,62985,111898,165714,24660,49514,1550917,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.325,47.524,98108,113,143,41,141,131,0,272,272,272.0,272,291,56.458333333333336,0.14466914045441698,37,-0.033022008588998904,50,-0.28461702194959915,26,2.77,-0.5202009389852341,5701.900735294118,5701.900735294118,5329.611683848797,Highland Park,1.0753990175653534
Cooper (Pathfinder),Pathfinder,83.79,2.52,558,304,672371,256382,,220349,62985,174277,1077142,24589,31963,2520058,Madison,Option,Standard,Southwest,K-8,No,-122.358,47.563,98106,236,9,63,142,158,3,303,303,303.0,452,452,54.48028673835126,0.4742710626687582,25,0.5333253314885926,20,0.011905731725253643,32,2.48,1.6951643028806913,8317.023102310231,5575.349557522124,5575.349557522124,Louisa Boren,0.985185160039891
Dearborn Park,Dearborn Park,61.38,3.69,480,317,396751,170370,226005,380366,62985,101842,248571,25287,42765,1654941,Mercer,Neighborhood,Standard,Southeast,K-5,Yes,-122.296,47.552,98108,155,139,32,149,166,1,316,316,316.0,316,336,66.04166666666667,-0.849452786224319,56,-0.033022008588998904,45,1.2082216689651768,66,1.31,-0.2824118516183174,5237.155063291139,5237.155063291139,4925.419642857143,Orca,0.9554394756116446
Decatur,Decatur,57.25,3.18,236,188,396751,170370,,307580,62985,81764,248571,26560,30954,1325536,Eckstein,Neighborhood,Highly Capable,Northeast,K-5,No,-122.283,47.686,98115,165,1,22,106,82,0,188,188,188.0,188,188,79.66101694915254,-1.093405463418804,65,-1.8046726621650544,68,0.6867506193990567,51,1.8199999999999998,-1.035400722687486,7050.723404255319,7050.723404255319,7050.723404255319,Thornton Creek,0.04651602575635681
Dunlap,Dunlap,80.81,2.65,584,226,396751,283935,,403881,62985,119493,165714,25131,40281,1498172,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.275,47.525,98118,103,125,25,126,116,0,242,242,242.0,242,299,38.6986301369863,0.29824709704174457,33,0.7221077781811231,19,0.14482972475191166,39,2.35,-0.6407710517781282,6190.793388429752,6190.793388429752,5010.608695652174,South Shore,0.1561049714380556
E.C. Hughes (Roxhill),Roxhill,86.95,2.29,480,238,396751,170370,,381478,62985,94361,414285,24303,46462,1590995,Denny,Neighborhood,Standard,Southwest,K-5,Yes,-122.375,47.533,98126,145,74,49,117,132,1,250,250,249.7,250,289,49.583333333333336,0.6609273483672017,19,-0.033022008588998904,51,-0.22326748670652613,27,2.71,-0.42858639769196244,6363.98,6363.98,5505.173010380623,West Seattle,0.6236254013665411
Emerson,Emerson,85.82,3.25,506,314,507963,243601,,434571,62985,150293,497142,25855,61776,1984188,Aki Kurose,Neighborhood,Standard,Southeast,K-5,Yes,-122.259,47.515,98118,152,132,62,157,171,1,329,329,329.0,329,349,62.055335968379445,0.594180005696555,23,0.1557604381035316,30,0.7583250771826416,53,1.75,0.4702158463003862,6030.966565349544,6030.966565349544,5685.352435530086,South Shore,0.868757653165605
Fairmount Park,Fairmount Park,86.08,2.46,532,358,435556,210704,,385594,62985,80322,331428,24303,36235,1567128,Madison,Neighborhood,Highly Capable,Southwest,K-5,Yes,-122.38,47.553,98126,281,40,57,190,186,0,376,376,376.0,376,411,67.29323308270678,0.6095378013552881,21,0.3445428847960621,24,-0.0494438035178194,30,2.54,-0.4831441165663203,4167.893617021276,4167.893617021276,3812.963503649635,West Seattle,0.8099506422876546
